"pop","mother","crossID","blocktray","timetosowing","MCseed","nseed","germ2"
"LM","LM8","LM8xhd","T1_1",37,1.56443514644351,2,0
"LM","LM9","LM9sld","T2_1",46,-0.835564853556487,2,0
"LM","LM9","LM9shd","T5_1",49,1.16443514644351,2,0
"LM","LM9","LM9xld","T5_1",61,0.164435146443513,2,0
"LM","LM9","LM9xhd","T9_1",49,0.0644351464435116,2,0
"LM","LM10","LM10sld","T4_1",56,-3.53556485355649,2,0
"LM","LM10","LM10shd","T2_1",42,-6.43556485355649,2,0
"LM","LM10","LM10xld","T3_1",59,-0.635564853556491,2,0
"LM","LM10","LM10xhd","T8_1",49,0.46443514644351,2,0
"LM","LM11","LM11sld","T5_1",64,-1.73556485355649,2,0
"LM","LM11","LM11shd","T8_1",24,-1.33556485355649,2,0
"LM","LM11","LM11xld","T9_1",69,-1.03556485355649,2,0
"LM","LM11","LM11xhd","T1_1",34,0.364435146443509,2,0
"LM","LM12","LM12sld","T3_1",53,0.864435146443509,2,0
"LM","LM12","LM12shd","T1_1",61,-1.43556485355649,2,0
"LM","LM12","LM12xld","T5_1",46,3.16443514644351,2,0
"LM","LM12","LM12xhd","T2_1",71,-0.235564853556486,2,0
"LM","LM13","LM13sld","T3_1",10,2.56443514644351,2,0
"LM","LM13","LM13shd","T2_1",10,3.36443514644351,2,0
"LM","LM13","LM13xld","T9_1",14,1.66443514644351,2,0
"LM","LM13","LM13xhd","T1_1",7,1.36443514644351,2,0
"LM","LM14","LM14sld","T5_1",62,0.96443514644351,2,0
"LM","LM14","LM14shd","T4_1",63,1.16443514644351,2,0
"LM","LM14","LM14xld","T6_1",52,0.164435146443513,2,0
"LM","LM14","LM14xhd","T5_1",72,2.36443514644351,2,0
"LM","LM15","LM15sld","T5_1",37,-0.935564853556488,2,0
"LM","LM15","LM15shd","T5_1",70,-0.635564853556491,2,0
"LM","LM15","LM15xld","T5_1",70,1.36443514644351,2,0
"LM","LM15","LM15xhd","T8_1",28,2.56443514644351,2,0
"LM","LM16","LM16sld","T3_1",44,2.86443514644351,2,0
"LM","LM16","LM16shd","T6_1",43,2.06443514644351,2,0
"LM","LM16","LM16xld","T2_1",61,1.46443514644351,2,0
"LM","LM16","LM16xhd","T9_1",53,1.16443514644351,2,0
"LM","LM17","LM17sld","T7_1",50,0.96443514644351,2,0
"LM","LM17","LM17shd","T3_1",45,-2.63556485355649,2,0
"LM","LM17","LM17xld","T2_1",32,-1.03556485355649,2,0
"LM","LM17","LM17xhd","T1_1",29,0.664435146443513,2,0
"LM","LM18","LM18sld","T5_1",69,1.46443514644351,2,0
"LM","LM18","LM18shd","T1_1",47,4.36443514644351,2,0
"LM","LM18","LM18xld","T2_1",80,-1.13556485355649,2,0
"LM","LM18","LM18xhd","T6_1",56,-1.13556485355649,2,0
"LM","LM19","LM19sld","T7_1",73,1.06443514644351,2,0
"LM","LM19","LM19shd","T8_1",61,-1.53556485355649,2,0
"LM","LM19","LM19xld","T9_1",65,-4.03556485355649,2,0
"LM","LM19","LM19xhd","T6_1",63,2.46443514644351,2,0
"LM","LM20","LM20sld","T9_1",78,2.16443514644351,2,0
"LM","LM20","LM20shd","T10_1",61,0.164435146443513,2,0
"LM","LM20","LM20xld","T10_1",34,2.46443514644351,2,0
"LM","LM20","LM20xhd","T10_1",67,0.364435146443509,2,0
"LM","LM21","LM21sld","T4_1",55,2.36443514644351,2,0
"LM","LM21","LM21shd","T7_1",70,0.164435146443513,2,0
"LM","LM21","LM21xld","T6_1",59,-0.53556485355649,2,0
"LM","LM21","LM21xhd","T7_1",56,-1.03556485355649,2,0
"LM","LM22","LM22sld","T6_1",40,-0.0355648535564898,2,0
"LM","LM22","LM22shd","T9_1",53,-0.335564853556487,2,0
"LM","LM22","LM22xld","T6_1",35,1.16443514644351,2,0
"LM","LM22","LM22xhd","T2_1",66,-0.335564853556487,2,0
"LM","LM23","LM23sld","T2_1",70,-6.83556485355649,2,0
"LM","LM23","LM23shd","T4_1",48,-2.13556485355649,2,0
"LM","LM23","LM23xld","T8_1",40,-2.43556485355649,2,0
"LM","LM23","LM23xhd","T6_1",33,-5.23556485355649,2,0
"LM","LM24","LM24sld","T5_1",40,1.36443514644351,2,0
"LM","LM24","LM24shd","T7_1",46,3.16443514644351,2,0
"LM","LM24","LM24xld","T3_1",67,-0.0355648535564898,2,0
